match,sku,titulo,departamento,categoria,preco,preco_oferta,meta_fabricante,cor,meta_tamanho,mpn,gtin,meta_peso,meta_volume,meta_genero
27905,803830US,Tênis Nike Zoom Vomero+ 8 - Masculino - Cor: Verde Cla/Azul,Calcados,Running Performance,379.9,360.91,Nike,VERDE CLA/AZUL,,,,0,0,M
27908,78700801,Top Nike Ipanema 542452 - Feminino - Cor: BRANCO,Vestuario,Training,0,0,Nike,Prata+Azul,,,,0,0,F
27915,78668301,Camiseta Adidas Regista - Masculina - Cor: BRANCO,Vestuario,Futebol,69.9,66.41,Adidas,Prata+Azul,,,,0,0,M
27920,776246N0,Bermuda Nike Colorblock III - Feminina - Cor: Rosa/Azul Esc,Vestuario,Training,89.9,85.41,Nike,Rosa/Azul Esc,,,,0,0,F
27924,80260731,Camisa Adidas Campeon 13 - Masculina - Cor: PRETO/BRANCO,Vestuario,Futebol,79.9,75.91,Adidas,Preto/Branco,,,,0,0,M
27926,80211051,Camisa Adidas Inspired Estro - Masculina - Cor: Branco/Preto,Vestuario,Futebol,79.9,75.91,Adidas,Branco/Preto,,,,0,0,M
27927,80211049,Camisa Adidas Inspired Estro - Masculina - Cor: Branco/Vermelho,Vestuario,Futebol,79.9,75.91,Adidas,Branco/Vermelho,,,,0,0,M
27929,8021103I,Camisa Adidas Inspired Estro - Masculina - Cor: Vermelho/Branco,Vestuario,Futebol,0,0,Adidas,Vermelho/Branco,,,,0,0,M
27937,79568901,Camiseta Nike Eternity Time - Feminina - Cor: BRANCO,Vestuario,Casual,99.9,94.91,Nike,Prata+Azul,,,,0,0,F
27948,8125772U,Caneleira Puma Universal - Adulto - Cor: Amarelo/Preto,Acessorios,Futebol,0,0,Puma,AMARELO/PRETO,,,,0,0,
27955,80386931,Chuteira de futsal Puma Universal IT - Cor: PRETO/BRANCO,Calcados,Futebol,129.9,123.41,Puma,Preto/Branco,,,,0,0,
27978,800177J3,Tênis Nike Flyknit One W 554888 - Cor: Laranja Esc/Branco,Calcados,Running Performance,399.9,379.91,Nike,Laranja Esc/Branco,,,,0,0,
27979,800177FH,Tênis Nike Flyknit One W 554888 - Cor: Verde/Cinza,Calcados,Running Performance,399.9,379.91,Nike,Verde/Cinza,,,,0,0,
27995,81204801,Bermuda Adidas Barricade FW13 - Masculina - Cor: Branco,Vestuario,Tennis,129.9,123.41,Adidas,Prata+Azul,,,,0,0,M
28009,78821705,Calção Adidas Chelsea Essentials - Masculino - Cor: AZUL ESCURO,Vestuario,Training,69.9,66.41,Adidas,Azul escuro,,,,0,0,M
28010,78821701,Calção Adidas Chelsea Essentials - Masculino - Cor: BRANCO,Vestuario,Training,69.9,66.41,Adidas,Prata+Azul,,,,0,0,M
28059,8176886O,Chuteira de Futsal Puma Evospeed 5.2 IT - Cor: Branco/Cinza Esc,Calcados,Futebol,109.9,104.41,Puma,Branco/Cinza Esc,,,,0,0,
28060,817688CT,Chuteira de Futsal Puma Evospeed 5.2 IT - Cor: Preto/Verde Cla,Calcados,Futebol,0,0,Puma,Preto/Verde Cla,,,,0,0,
28087,8097563I,Tênis Nike Air Pegasus+ 30 - Masculino - Cor: Vermelho/Branco,Calcados,Running Performance,0,0,Nike,Vermelho/Branco,,,,0,0,M
28104,812877EZ,Tênis Puma Villian S Zebra - Feminino - Cor: Rosa,Calcados,Casual,0,0,Puma,Rosa,,,,0,0,F
28106,794386KL,Testeira Nike Swoosh Headband - Cor: ROSA CLA/BRANCO,Acessorios,Tennis,29.9,28.41,Nike,ROSA CLA/BRANCO,,,,0,0,
28132,809690UP,Chuteira de Campo Nike Hypervenom Phade FG - Cor: Verde Cla/Roxo,Calcados,Futebol,129.9,123.41,Nike,Verde Cla/Roxo,,,,0,0,
28133,800245UG,Chuteira de Futsal Nike Mercurial Vortex IC - Cor: Verde Cla/Laranja,Calcados,Futebol,149.9,149.9,Nike,Verde Cla/Laranja,,,,0,0,
28154,800196FP,Tênis Nike Cheyenne 2013 No Sew - Feminino - Cor: PRETO/ROSA,Calcados,Casual,159.9,151.91,Nike,Preto/Rosa,,,,0,0,F
28162,80491615,Bermuda Puma Cargo 824279 - Masculina - Cor: Marrom,Vestuario,Casual,0,0,Puma,Marrom,,,,0,0,M
28169,812512WS,Camisa Manga Longa Adidas Fluminense I Gk – Masculina - Cor: Cinza Esc/Verde Cla,Vestuario,Futebol,149.9,142.41,Adidas,Cinza Esc/Verde Cla,,,,0,0,M
28175,81455501,Camiseta Adidas Response - Feminina - Cor: Branco,Vestuario,Tennis,69.9,66.41,Adidas,Prata+Azul,,,,0,0,F
28183,81040701,Camiseta Nike Speed Legend SS Graphic - Masculina - Cor: Branco,Vestuario,Training,99.9,94.91,Nike,Prata+Azul,,,,0,0,M
28185,81040702,Camiseta Nike Speed Legend SS Graphic - Masculina - Cor: Preto,Vestuario,Training,99.9,94.91,Nike,Chumbo+Amarelo,,,,0,0,M
28190,75615201,Camiseta Nike Sport - Masculina - Cor: BRANCO,Vestuario,Training,69.9,66.41,Nike,Prata+Azul,,,,0,0,M
28222,81032644,Mini Bola de Futebol de Campo Nike Skills PL – Infantil - Cor: Branco/Roxo,Acessorios,Futebol,24.9,23.66,Nike,Branco/Roxo,,,,0,0,
28238,78511251,Tênis Adidas Adipower Barricade - Feminino - Cor: BRANCO/PRETO,Calcados,Tennis,259.9,246.91,Adidas,Branco/Preto,,,,0,0,F
28239,78511242,Tênis Adidas Adipower Barricade - Feminino - Cor: BRANCO/VERDE,Calcados,Tennis,269.9,256.41,Adidas,Branco/Verde,,,,0,0,F
28240,7851129O,Tênis Adidas Adipower Barricade - Feminino - Cor: BRANCO/VERDE CLA,Calcados,Tennis,269.9,256.41,Adidas,Branco/Verde Cla,,,,0,0,F
28257,792282FG,Tênis Nike Mavrk Low 2 - Masculino - Cor: Verde Esc/Preto,Calcados,Skate,229.9,218.41,Nike,Verde Esc/Preto,,,,0,0,M
28260,81494302,Tênis Puma Zanthem S Lite – Masculino - Cor: Preto,Calcados,Casual,0,0,Puma,Chumbo+Amarelo,,,,0,0,M
28267,81337410,Tênis Adidas F50 Adizero Messi Cf - Infantil - Cor: Rosa Escuro,Calcados,Casual,129.9,123.41,Adidas,Rosa Escuro,,,,0,0,
28366,79866905,Bicicleta Caloi 300 - Quadro em Aluminio - V-Brake - 21V - Aro 26 - Cor: AZUL ESCURO,Equipamentos,Bike,899.9,854.91,Caloi,Azul escuro,,7693.19003,7891473015645,0,0,
28367,794487Q2,Bicicleta Caloi Barbie Aro 12 - Infantil - Cor: ROSA/BRANCO,Equipamentos,Bike,0,0,Caloi,ROSA/BRANCO,,42.619.856,7891401015372,0,0,
28368,81209007,Bicicleta Caloi Ben 10 - Aro 16 - 2014 - Cor: Verde,Equipamentos,Bike,0,0,Caloi,Verde,,BIC. BEN10 ARO16 VERDE A14,7891401015471,0,0,
28371,71614651,Bicicleta Caloi Sport Comfort - C-bio Shimano - Aro 26 - Cor: BRANCO/PRETO,Equipamentos,Bike,1199.9,1139.91,Caloi,Branco/Preto,,Sport Comfort.,7891473014129,0,0,
28373,80423058,Bicicleta Ergométrica Kikos KR 8.6 110 v - Cor: CINZA/PRETO,Equipamentos,Training,1769.9,1681.41,Kikos,Cinza/Preto,,,,0,0,
28378,801084RQ,Bola de Futebol de Campo Nike Brasil Prestige - Cor: Amarelo/Verde,Acessorios,Futebol,99.9,94.91,Nike,Amarelo/Verde,,,,0,0,
28380,81053401,Bola de Futebol de Campo Nike England Press SC2311 - Cor: Branco,Acessorios,Futebol,99.9,94.91,Nike,Prata+Azul,,,,0,0,
28381,8010969X,Bola de Futebol de Campo Nike França Prestige - Cor: AZUL CLA/AZUL,Acessorios,Futebol,99.9,94.91,Nike,AZUL CLA/AZUL,,,,0,0,
28382,79275031,Bola de Futebol de Campo Nike Manchester United Supporters - Cor: PRETO/BRANCO,Acessorios,Futebol,69.9,66.41,Nike,Preto/Branco,,,,0,0,
28388,81025704,Bolsa Nike Bucket Sling - Feminina - Cor: Azul,Acessorios,Training,179.9,170.91,Nike,Azul,,,,0,0,F
28400,80825249,Calção Adidas Flamengo I 2013 - Infantil - Cor: Branco/Vermelho,Vestuario,Futebol,39.9,37.91,Adidas,Branco/Vermelho,,,,0,0,
28409,804581WY,Calção Nike Corinthians Away - Infantil - Cor: Marrom Cla/Preto,Vestuario,Futebol,99.9,94.91,Nike,Marrom Cla/Preto,,,,0,0,
28415,81223132,Camisa Adidas Chelsea III - Infantil - Cor: Preto/Cinza,Vestuario,Futebol,119.9,113.91,Adidas,Preto/Cinza,,,,0,0,
28417,81246206,Camisa Adidas CSKA Moscou- Masculina - Cor: Vermelho,Vestuario,Futebol,149.9,142.41,Adidas,Colorido,,,,0,0,M
28419,81245201,Camisa Adidas Hamburgo Home – Masculina - Cor: Branco,Vestuario,Futebol,149.9,142.41,Adidas,Prata+Azul,,,,0,0,M
28420,81215019,Camisa Adidas Milan Home – Infantil - Cor: Preto/Vermelho,Vestuario,Futebol,169.9,161.41,Adidas,Preto/Vermelho,,,,0,0,
28423,812513WS,Camisa Manga Longa Adidas Fluminense I GK – Infantil - Cor: Cinza Esc/Verde Cla,Vestuario,Futebol,0,0,Adidas,Cinza Esc/Verde Cla,,,,0,0,
28427,810062HK,Camisa Nike Barcelona Home - Masculina - Cor: Azul Esc/Vinho,Vestuario,Futebol,149.9,142.41,Nike,Azul Esc/Vinho,,,,0,0,M
28466,81040601,Camiseta Nike Legacy Ss Top – Masculina - Cor: Branco,Vestuario,Training,89.9,85.41,Nike,Prata+Azul,,,,0,0,M
28474,798116NF,Camiseta Nike Pl Futura Standard - Masculina - Cor: VINHO,Vestuario,Casual,0,0,Nike,Vinho,,,,0,0,M
28475,8107933W,Camiseta Nike Racer SS Top - Feminina - Cor: Verde Claro,Vestuario,Running Performance,69.9,66.41,Nike,Verde Claro,,,,0,0,F
28482,81030403,Camiseta Nike Solid Sp Futura - Masculina - Cor: Cinza,Vestuario,Casual,59.9,56.91,Nike,Preto,,,,0,0,M
28522,800246N1,Chuteira de Campo Nike Mercurial Vortex FG-R - Infantil - Cor: Rosa/Verde Cla,Calcados,Futebol,99.9,94.91,Nike,Rosa/Verde Cla,,,,0,0,
28532,7843219O,Chuteira de Futsal Adidas F10 Adizero In - Cor: BRANCO/VERDE CLA,Calcados,Futebol,149.9,142.41,Adidas,Branco/Verde Cla,,,,0,0,
28545,803864QI,Chuteira de Futsal Puma V6.11 IT - Cor: VERDE CLARO/BRANCO,Calcados,Futebol,129.9,123.41,Puma,Verde Claro/Branco,,,,0,0,
